,CholeskyCMAES,CholeskyCMAES_Aupdate1,pycma,pycmaDiagonal,netname,layername,channum,noise_level,RND,expdir
0,1.0001767458947342,1.0010520473401876,1.0027072399032626,1.1292070606794224,alexnet,.classifier.Linear6,0,0.0,21635,alexnet_.classifier.Linear6_000
1,1.0001712793029722,1.0010546900957769,1.0027374342572086,1.1481278213924309,alexnet,.classifier.Linear6,1,0.0,44670,alexnet_.classifier.Linear6_001
2,1.0001782717762087,1.0010959873944036,1.0026817407144013,1.1584661770147018,alexnet,.classifier.Linear6,2,0.0,73959,alexnet_.classifier.Linear6_002
3,1.0001753616530296,1.0010009627422212,1.0026652083206404,1.1259136017280733,alexnet,.classifier.Linear6,3,0.0,13221,alexnet_.classifier.Linear6_003
4,1.0001729959332295,1.0010597832237476,1.0027951929246894,1.1347539799674486,alexnet,.classifier.Linear6,4,0.0,1209,alexnet_.classifier.Linear6_004
5,1.000176360854882,1.0010490059669017,1.0027337242812593,1.127129194971786,alexnet,.classifier.Linear6,5,0.0,35088,alexnet_.classifier.Linear6_005
6,1.0001721840194007,1.0010841004607072,1.0027215534202953,1.1161764315750027,alexnet,.classifier.Linear6,6,0.0,99958,alexnet_.classifier.Linear6_006
7,1.000178955950212,1.001066621508347,1.0027514812863558,1.1679400530964932,alexnet,.classifier.Linear6,7,0.0,52590,alexnet_.classifier.Linear6_007
8,1.0001760790132916,1.001041263112764,1.0027737599034932,1.1191561820833782,alexnet,.classifier.Linear6,8,0.0,97635,alexnet_.classifier.Linear6_008
9,1.000169391918302,1.0010307678761885,1.0028212283652718,1.1219588801061686,alexnet,.classifier.Linear6,9,0.0,61434,alexnet_.classifier.Linear6_009
10,1.0001748399877266,1.00104872759878,1.0027455389206683,1.1101136044474837,alexnet,.classifier.Linear6,10,0.0,42800,alexnet_.classifier.Linear6_010
11,1.0001810743845858,1.0010885108583494,1.0027488678901932,1.1449616643723577,alexnet,.classifier.Linear6,11,0.0,63924,alexnet_.classifier.Linear6_011
12,1.0001701888361607,1.0010589393441591,1.0027311733676805,1.0998038535748274,alexnet,.classifier.Linear6,12,0.0,33736,alexnet_.classifier.Linear6_012
13,1.0001709147365119,1.0010391662108469,1.0027026356770796,1.1459241826805053,alexnet,.classifier.Linear6,13,0.0,18873,alexnet_.classifier.Linear6_013
14,1.0001689686202513,1.001054667146135,1.0027704374507163,1.105429601976103,alexnet,.classifier.Linear6,14,0.0,82517,alexnet_.classifier.Linear6_014
15,1.000182060973604,1.0010090980314947,1.002685572943712,1.1045426598791768,alexnet,.classifier.Linear6,15,0.0,61257,alexnet_.classifier.Linear6_015
16,1.0001750185848874,1.0010707553119593,1.0027551330538176,1.169502843563753,alexnet,.classifier.Linear6,16,0.0,59056,alexnet_.classifier.Linear6_016
17,1.000173661078455,1.0010335373561132,1.002819584628836,1.1640778041773794,alexnet,.classifier.Linear6,17,0.0,48857,alexnet_.classifier.Linear6_017
18,1.0001729590419037,1.001068532799403,1.0027333092052426,1.1147317067572204,alexnet,.classifier.Linear6,18,0.0,74874,alexnet_.classifier.Linear6_018
19,1.0001771737493537,1.0010598269985844,1.002712857126318,1.1085009437415314,alexnet,.classifier.Linear6,19,0.0,43540,alexnet_.classifier.Linear6_019
20,1.0001769953819848,1.001059139571,1.0027377134557762,1.1187127291198595,alexnet,.classifier.Linear6,20,0.0,42229,alexnet_.classifier.Linear6_020
21,1.000171445444228,1.0010620505256886,1.0026809089286468,1.1125177834046678,alexnet,.classifier.Linear6,21,0.0,48260,alexnet_.classifier.Linear6_021
22,1.0001714796521721,1.0010651939196307,1.002719718822294,1.1113283666249938,alexnet,.classifier.Linear6,22,0.0,98368,alexnet_.classifier.Linear6_022
23,1.000168919885359,1.0010407967889239,1.0027198883523851,1.0948397925928823,alexnet,.classifier.Linear6,23,0.0,70099,alexnet_.classifier.Linear6_023
24,1.0001817851446742,1.001036637039396,1.0026970528841996,1.2011539959565067,alexnet,.classifier.Linear6,24,0.0,18426,alexnet_.classifier.Linear6_024
25,1.0001787324916112,1.0010656701873537,1.0026784719253579,1.0899333596834095,alexnet,.classifier.ReLU2,0,0.0,46661,alexnet_.classifier.ReLU2_000
26,1.0001815885469882,1.0010281371187195,1.0027569511547698,1.09930068290133,alexnet,.classifier.ReLU2,1,0.0,41604,alexnet_.classifier.ReLU2_001
27,1.000180525650574,1.0010779675058663,1.0027902447838264,1.125869956956474,alexnet,.classifier.ReLU2,2,0.0,52026,alexnet_.classifier.ReLU2_002
28,1.0001767079009791,1.0010490076539416,1.0026664020050704,1.1380591270716744,alexnet,.classifier.ReLU2,3,0.0,74723,alexnet_.classifier.ReLU2_003
29,1.0001748171569433,1.0010880597396798,1.002748375654345,1.1142406924558936,alexnet,.classifier.ReLU2,4,0.0,90396,alexnet_.classifier.ReLU2_004
30,1.0001776690447945,1.0010718625789676,1.0027248481115136,1.1559769395192465,alexnet,.classifier.ReLU2,5,0.0,93894,alexnet_.classifier.ReLU2_005
31,1.0001783713017471,1.0010156022047185,1.0027104151602868,1.1422867707015127,alexnet,.classifier.ReLU2,6,0.0,91988,alexnet_.classifier.ReLU2_006
32,1.000178021006327,1.0010626934645264,1.0027149922885916,1.1467350165889119,alexnet,.classifier.ReLU2,7,0.0,47820,alexnet_.classifier.ReLU2_007
33,1.000177362192814,1.0010140844400501,1.0027303837109571,1.0593871044895746,alexnet,.classifier.ReLU2,8,0.0,92473,alexnet_.classifier.ReLU2_008
34,1.0001724710638884,1.0010793744138407,1.0026832700430797,1.1260575319095767,alexnet,.classifier.ReLU2,9,0.0,65387,alexnet_.classifier.ReLU2_009
35,1.0001719732149803,1.0010597536216377,1.00283182691049,1.1732031837037804,alexnet,.classifier.ReLU2,10,0.0,88953,alexnet_.classifier.ReLU2_010
36,1.0001738480820626,1.0010926420050925,1.0027895429101088,1.195182745350433,alexnet,.classifier.ReLU2,11,0.0,21741,alexnet_.classifier.ReLU2_011
37,1.000178769689154,1.00106235084592,1.0026889764369702,1.2120732566584445,alexnet,.classifier.ReLU2,12,0.0,42417,alexnet_.classifier.ReLU2_012
38,1.0001674770594964,1.0010667250346397,1.0027154856954128,1.1180315252728181,alexnet,.classifier.ReLU2,13,0.0,16420,alexnet_.classifier.ReLU2_013
39,1.0001701056388426,1.0010518154505748,1.0027253212871325,1.1228391868631744,alexnet,.classifier.ReLU2,14,0.0,98552,alexnet_.classifier.ReLU2_014
40,1.0001726305023781,1.0010532821181461,1.0026862773426368,1.055723862421264,alexnet,.classifier.ReLU2,15,0.0,57109,alexnet_.classifier.ReLU2_015
41,1.0001653147386529,1.0010727378436506,1.0027064565039279,1.0569023857396433,alexnet,.classifier.ReLU2,16,0.0,1402,alexnet_.classifier.ReLU2_016
42,1.0001746034374464,1.0010167432773238,1.002759063286368,1.1037439757653857,alexnet,.classifier.ReLU2,17,0.0,90020,alexnet_.classifier.ReLU2_017
43,1.0001755557155416,1.0010344123291217,1.0027376701620028,1.1143894827446599,alexnet,.classifier.ReLU2,18,0.0,3534,alexnet_.classifier.ReLU2_018
44,1.0001723633971558,1.0010715347896302,1.0027717396951246,1.116940505109866,alexnet,.classifier.ReLU2,19,0.0,96430,alexnet_.classifier.ReLU2_019
45,1.0001742368088573,1.0010875442231302,1.0026516589828605,1.1212752643530304,alexnet,.classifier.ReLU2,20,0.0,13277,alexnet_.classifier.ReLU2_020
