,CholeskyCMAES,CholeskyCMAES_Aupdate1,pycma,pycmaDiagonal,netname,layername,channum,noise_level,RND,expdir
0,8.191378912492685e-12,2.9121066227659643e-10,7.133218660760195e-08,0.00013885554009690937,alexnet,.classifier.Linear6,0,0.0,21635,alexnet_.classifier.Linear6_000
1,7.726348269016954e-12,2.924622604881398e-10,7.127658411679654e-08,0.0002081996467077349,alexnet,.classifier.Linear6,1,0.0,44670,alexnet_.classifier.Linear6_001
2,8.324891447490327e-12,3.139523913132486e-10,7.102377728173476e-08,0.00014422806429017712,alexnet,.classifier.Linear6,2,0.0,73959,alexnet_.classifier.Linear6_002
3,8.076797466599299e-12,2.6567935365239806e-10,7.120277096169731e-08,0.00015443408039922106,alexnet,.classifier.Linear6,3,0.0,13221,alexnet_.classifier.Linear6_003
4,7.875786246880101e-12,2.9516909258802997e-10,7.169748134560521e-08,0.00016938946256112538,alexnet,.classifier.Linear6,4,0.0,1209,alexnet_.classifier.Linear6_004
5,8.156358328514625e-12,2.894967865683664e-10,7.137430783688551e-08,0.00016057380648936908,alexnet,.classifier.Linear6,5,0.0,35088,alexnet_.classifier.Linear6_005
6,7.801902188342152e-12,3.0766419565337645e-10,7.140183767166904e-08,0.00016244964525901167,alexnet,.classifier.Linear6,6,0.0,99958,alexnet_.classifier.Linear6_006
7,8.386688470141432e-12,2.983822819347248e-10,7.138168586022389e-08,0.00014900340542253857,alexnet,.classifier.Linear6,7,0.0,52590,alexnet_.classifier.Linear6_007
8,8.139176000798617e-12,2.8532790936321577e-10,7.143138977264516e-08,0.00016765534200489926,alexnet,.classifier.Linear6,8,0.0,97635,alexnet_.classifier.Linear6_008
9,7.578184240608516e-12,2.804256698788558e-10,7.138569936631193e-08,0.00017320523334595408,alexnet,.classifier.Linear6,9,0.0,61434,alexnet_.classifier.Linear6_009
10,8.033752779392866e-12,2.893594881365285e-10,7.145366848780124e-08,0.00014921249767148374,alexnet,.classifier.Linear6,10,0.0,42800,alexnet_.classifier.Linear6_010
11,8.570403777460325e-12,3.102137364668371e-10,7.130329184434626e-08,0.00017184211851693654,alexnet,.classifier.Linear6,11,0.0,63924,alexnet_.classifier.Linear6_011
12,7.638294647028706e-12,2.947939548576325e-10,7.131926051962996e-08,0.00014059845276772026,alexnet,.classifier.Linear6,12,0.0,33736,alexnet_.classifier.Linear6_012
13,7.692805230521013e-12,2.845087635099025e-10,7.134830781739949e-08,0.00018032711530015344,alexnet,.classifier.Linear6,13,0.0,18873,alexnet_.classifier.Linear6_013
14,7.537140124477046e-12,2.922569721205797e-10,7.129408074906221e-08,0.0001545965670087761,alexnet,.classifier.Linear6,14,0.0,82517,alexnet_.classifier.Linear6_014
15,8.654896185346592e-12,2.6929125789933217e-10,7.12847594959513e-08,0.00015562374784904297,alexnet,.classifier.Linear6,15,0.0,61257,alexnet_.classifier.Linear6_015
16,8.042983853920674e-12,3.00621544659761e-10,7.129562469122189e-08,0.0001970496380901444,alexnet,.classifier.Linear6,16,0.0,59056,alexnet_.classifier.Linear6_016
17,7.939657169175274e-12,2.814582270040389e-10,7.134581530168825e-08,0.00018420953867724516,alexnet,.classifier.Linear6,17,0.0,48857,alexnet_.classifier.Linear6_017
18,7.869839020834696e-12,2.9975485808769456e-10,7.136877227699542e-08,0.00013935591094358347,alexnet,.classifier.Linear6,18,0.0,74874,alexnet_.classifier.Linear6_018
19,8.23194147855889e-12,2.950568906177716e-10,7.124226545706947e-08,0.0001460563599962294,alexnet,.classifier.Linear6,19,0.0,43540,alexnet_.classifier.Linear6_019
20,8.20653404937955e-12,2.946393796007295e-10,7.151784860111636e-08,0.00016604766221707954,alexnet,.classifier.Linear6,20,0.0,42229,alexnet_.classifier.Linear6_020
21,7.746113730221397e-12,2.9624903199142823e-10,7.11537543370543e-08,0.00015453841015482432,alexnet,.classifier.Linear6,21,0.0,48260,alexnet_.classifier.Linear6_021
22,7.745349374536749e-12,2.9783658449217616e-10,7.137111083345527e-08,0.0001582329512742704,alexnet,.classifier.Linear6,22,0.0,98368,alexnet_.classifier.Linear6_022
23,7.540286527608996e-12,2.852162597277542e-10,7.138241132668657e-08,0.00013688282273124488,alexnet,.classifier.Linear6,23,0.0,70099,alexnet_.classifier.Linear6_023
24,8.637335667379186e-12,2.8321289531510336e-10,7.126473580929524e-08,0.00017178292269600236,alexnet,.classifier.Linear6,24,0.0,18426,alexnet_.classifier.Linear6_024
25,8.364436011688833e-12,2.9811327696083896e-10,7.11688335499416e-08,0.00013193491688486445,alexnet,.classifier.ReLU2,0,0.0,46661,alexnet_.classifier.ReLU2_000
26,8.615214300209529e-12,2.7905112732079095e-10,7.139688701826338e-08,0.0001478125711761873,alexnet,.classifier.ReLU2,1,0.0,41604,alexnet_.classifier.ReLU2_001
27,8.515142382147138e-12,3.0457431643432633e-10,7.154342224114834e-08,0.00015486245506257437,alexnet,.classifier.ReLU2,2,0.0,52026,alexnet_.classifier.ReLU2_002
28,8.18141615481857e-12,2.897466068424619e-10,7.13154443640186e-08,0.00018813228323841388,alexnet,.classifier.ReLU2,3,0.0,74723,alexnet_.classifier.ReLU2_003
29,8.029809964610908e-12,3.097461713066377e-10,7.131074228429589e-08,0.00014755817204565114,alexnet,.classifier.ReLU2,4,0.0,90396,alexnet_.classifier.ReLU2_004
30,8.274324479836314e-12,3.0136400077474513e-10,7.123930129725287e-08,0.00016333219033233952,alexnet,.classifier.ReLU2,5,0.0,93894,alexnet_.classifier.ReLU2_005
31,8.334467905882864e-12,2.726683089092961e-10,7.134660120375655e-08,0.00016215999297419412,alexnet,.classifier.ReLU2,6,0.0,91988,alexnet_.classifier.ReLU2_006
32,8.30682763097772e-12,2.9624220205517317e-10,7.130171948293276e-08,0.00018176595609155377,alexnet,.classifier.ReLU2,7,0.0,47820,alexnet_.classifier.ReLU2_007
33,8.246055003931442e-12,2.7204824701651945e-10,7.129971061635728e-08,0.0001694882995233825,alexnet,.classifier.ReLU2,8,0.0,92473,alexnet_.classifier.ReLU2_008
34,7.825685592792316e-12,3.053880794888407e-10,7.104231510228717e-08,0.0001411980716262718,alexnet,.classifier.ReLU2,9,0.0,65387,alexnet_.classifier.ReLU2_009
35,7.784391437241626e-12,2.9484452657263354e-10,7.150271651967464e-08,0.00018257458472965236,alexnet,.classifier.ReLU2,10,0.0,88953,alexnet_.classifier.ReLU2_010
36,7.940456313748327e-12,3.120461251861197e-10,7.136714272679795e-08,0.00020976561111072387,alexnet,.classifier.ReLU2,11,0.0,21741,alexnet_.classifier.ReLU2_011
37,8.36416855709774e-12,2.963571565095724e-10,7.121036278387778e-08,0.0001752889509284076,alexnet,.classifier.ReLU2,12,0.0,42417,alexnet_.classifier.ReLU2_012
38,7.417482844067494e-12,2.9865490708622326e-10,7.128092622189943e-08,0.0001406437794469119,alexnet,.classifier.ReLU2,13,0.0,16420,alexnet_.classifier.ReLU2_013
39,7.633917570480793e-12,2.911953498232177e-10,7.115354515943121e-08,0.00016145731705917427,alexnet,.classifier.ReLU2,14,0.0,98552,alexnet_.classifier.ReLU2_014
40,7.843449981327227e-12,2.914592678525432e-10,7.136017013372783e-08,0.0001695701635623771,alexnet,.classifier.ReLU2,15,0.0,57109,alexnet_.classifier.ReLU2_015
41,7.2388765822566035e-12,3.0182767265570295e-10,7.134199207736505e-08,0.00016155175900332003,alexnet,.classifier.ReLU2,16,0.0,1402,alexnet_.classifier.ReLU2_016
42,8.002656720470746e-12,2.7326615112678723e-10,7.15262678088178e-08,0.0001590546011010182,alexnet,.classifier.ReLU2,17,0.0,90020,alexnet_.classifier.ReLU2_017
43,8.08754797707992e-12,2.8202250118656427e-10,7.129117417461012e-08,0.00015865021420933412,alexnet,.classifier.ReLU2,18,0.0,3534,alexnet_.classifier.ReLU2_018
44,7.819348572056217e-12,3.012449913508433e-10,7.14305419311336e-08,0.0001685381608110548,alexnet,.classifier.ReLU2,19,0.0,96430,alexnet_.classifier.ReLU2_019
45,7.980616027667028e-12,3.093430282129956e-10,7.122913560684459e-08,0.00018420197872764466,alexnet,.classifier.ReLU2,20,0.0,13277,alexnet_.classifier.ReLU2_020
46,8.27359346054295e-12,2.800771105998975e-10,7.136562866117878e-08,0.00017113258648086786,alexnet,.classifier.ReLU2,21,0.0,54563,alexnet_.classifier.ReLU2_021
47,8.662603273807579e-12,2.8555133045200146e-10,7.125815182432213e-08,0.00013291931730813634,alexnet,.classifier.ReLU2,22,0.0,1893,alexnet_.classifier.ReLU2_022
48,8.242055556808772e-12,2.8708898843327514e-10,7.157998299687286e-08,0.0001701509748802315,alexnet,.classifier.ReLU2,23,0.0,7264,alexnet_.classifier.ReLU2_023
49,7.96744052664861e-12,2.7706681482063833e-10,7.144681027938105e-08,0.00015043873106964086,alexnet,.classifier.ReLU2,24,0.0,89251,alexnet_.classifier.ReLU2_024
50,7.820365433822877e-12,2.872051567638517e-10,7.147650955559369e-08,0.00016737200043319446,alexnet,.classifier.ReLU5,0,0.0,28989,alexnet_.classifier.ReLU5_000
51,7.63792957777951e-12,2.8745625875360285e-10,7.130624219239887e-08,0.00016415090040829085,alexnet,.classifier.ReLU5,1,0.0,41913,alexnet_.classifier.ReLU5_001
52,8.538669995740949e-12,2.8187287399712076e-10,7.133138993040594e-08,0.0002179408574308066,alexnet,.classifier.ReLU5,2,0.0,91423,alexnet_.classifier.ReLU5_002
53,8.043856619345548e-12,2.6989186792699123e-10,7.14057085306557e-08,0.00015321980054576413,alexnet,.classifier.ReLU5,3,0.0,60957,alexnet_.classifier.ReLU5_003
54,8.17102654824171e-12,3.0567913977230863e-10,7.140973612669369e-08,0.00016085644543522573,alexnet,.classifier.ReLU5,4,0.0,2299,alexnet_.classifier.ReLU5_004
55,7.86486161138796e-12,2.9233849831923345e-10,7.144317885610876e-08,0.0001511611867764771,alexnet,.classifier.ReLU5,5,0.0,34550,alexnet_.classifier.ReLU5_005
56,7.903987168417184e-12,2.559569554759822e-10,7.118571473120738e-08,0.00016623263874819352,alexnet,.classifier.ReLU5,6,0.0,88599,alexnet_.classifier.ReLU5_006
57,7.943911246864017e-12,2.855798094430217e-10,7.128904951962886e-08,0.0002047278780608378,alexnet,.classifier.ReLU5,7,0.0,16403,alexnet_.classifier.ReLU5_007
58,7.82450051552252e-12,2.618855231934343e-10,7.174675829679865e-08,0.00017390381051162143,alexnet,.classifier.ReLU5,8,0.0,35527,alexnet_.classifier.ReLU5_008
59,8.325702953069898e-12,3.005824817125691e-10,7.138134446705988e-08,0.0001503657352712222,alexnet,.classifier.ReLU5,9,0.0,8241,alexnet_.classifier.ReLU5_009
60,7.79893634707925e-12,3.032694321785269e-10,7.124520135277415e-08,0.000180175700105265,alexnet,.classifier.ReLU5,10,0.0,12577,alexnet_.classifier.ReLU5_010
61,8.080536224921269e-12,2.802824030964397e-10,7.157093196554069e-08,0.00016547950144343049,alexnet,.classifier.ReLU5,11,0.0,83365,alexnet_.classifier.ReLU5_011
